id,shortName,shortName_override,isLoop,longName_en,longName_en_override,longName_ka,longName_ka_override,longName_ru_override,dest0_en,dest0_en_override,dest0_ka,dest0_ka_override,dest0_ru_override,dest1_en,dest1_en_override,dest1_ka,dest1_ka_override,dest1_ru_override,invertDirection
1:R97513,312,,,Didi Lilo - M/S Isani,,დიდი ლილო  - მ/ს ისანი,,,Big Lilo,,დიდი ლილო,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,
1:R97489,313,,,M/S Akhmeteli Theatre - Paichadze St (Dighomi),,მ/ს ახმეტელის თეატრი - პაიჭაძის ქ. (დიღომი),,,Paichadze St (Dighomi),,პაიჭაძის ქ. (დიღომი),,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R97517,314,,,Didi Dighomi IV M/D - Baratashvili St,,დიდი დიღმის IV მ/რ - ბარათაშვილის ქ.,,,Didi Dighomi IV M/D,,დიდი დიღმის IV მ/რ,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R97521,315,,,Didi Dighomi IV M/D - Station Square,,დიდი დიღმის IV მ/რ - სადგურის მოედანი,,,Station Square 1,,სადგურის მოედანი 1,,,Didi Dighomi IV M/D,,დიდი დიღმის IV მ/რ,,,
1:R98445,316,,,Baratashvili St - Kiketi,,ბარათაშვილის ქ. - კიკეთი,,,Kiketi,,კიკეთი,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R97525,317,,true,Mukhiani M/D-4b - Pirosmani Square,,მუხიანის IV ბ მ/რ  - ფიროსმანის მოედანი,,,Pirosmani Square - Mukhiani,,ფიროსმანის მ/ნი - მუხიანი,,,"Mukhiani M/D-4b, #42",,"მუხიანის IVბ მ/რ, კორპუსი #42",,,
1:R97529,318,,,Small Lilo - M/S Isani,,პატარა ლილო - მ/ს ისანი,,,Patara Lilo,,პატარა ლილო,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,
1:R80273,319,,,M/S Varketili - Station Square 1,,მ/ს ვარკეთილი - სადგურის მოედანი1,,,M/S Varketili,,მ/ს ვარკეთილი,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R97533,320,,,Dighomi Block - Baratashvili St,,დიღმის მასივი - ბარათაშვილის ქ.,,,Dighomi Array,,დიღმის მასივი,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R55124,321,,,Didi Dighomi IV M/D - M/S Sarajishvili,,დიდი დიღმის IV მ/რ - მ/ს სარაჯიშვილი,,,Sarajishvili M/S,,მ/ს სარაჯიშვილი,,,Didi Dighomi IV M/D,,დიდი დიღმის IV მ/რ,,,
1:R97618,322,,,Village Nasaguri - M/S Isani,,სოფელი ნასაგური  -  მ/ს ისანი,,,Nasaguri,,სოფ. ნასაგური,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,
1:R97622,323,,,Gldani VII-VIII  M/D - Baratashvili St,,გლდანის VII-VIII მ/რ - ბარათაშვილის ქ.,,,Gldani VII-VIII M/D,,გლდანის VII-VIII მ/რ,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R97638,324,,,Tsavkisi - Baratashvili St,,წავკისი - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Tsavkisi,,წავკისი,,,
1:R97626,325,,,Vazisubani M/D-2 - Baratashvili St,,ვაზისუბნის II მ/რ - ბარათაშვილის ქ.,,,Vazisubani II M/D,,ვაზისუბნის II მ/რ,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R97493,326,,,Baratashvili St - Politkovskaya St,,ბარათაშვილის ქ. - პოლიტკოვსკაიას ქ.,,,Politkovskaya St,,პოლიტკოვსკაიას ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,true
1:R97630,327,,,Vashlijvari Settlement - Station Square,,ვაშლიჯვრის დასახლება - სადგურის მოედანი,,,Station Square 2,,სადგურის მოედანი 2,,,Vashlijvari Sattlement,,ვაშლიჯვრის დასახლება,,,
1:R97634,328,,,Mnatobi St - Marjanishvili Square,,მნათობის ქ. - მარჯანიშვილის მ-ნი,,,Marjanishvili Square,,მარჯანიშვილი მ-ნი,,,Mnatobi St.,,მნათობის ქ.,,,
1:R97678,329,,true,Sadguris Moedani - Sop. Tkhinvala,Station Square – Village Tkhinvala,სადგურის მოედანი - სოფ. თხინვალა,სადგურის მოედანი – სოფ. თხინვალა,,Tkhinvala-sadguris M-ni 2,Station Square,თხინვალა-სადგურის მ-ნი 2,თხინვალა-სადგურის მ-ნი 2,,Station Square,Village Tkhinvala,სადგურის მოედანი,,,
1:R80661,330,,,Tsatsa Amirejibi St - M/S Isani,,ცაცა ამირეჯიბის  ქ. - მ/ს ისანი,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,Amirejibi St,,ამირეჯიბის ქ.,,,
1:R98138,331,,,Krtsanisi Street - Station Square,,კრწანისის ქუჩა - სადგურის მოედანი,,,Station Square 1,,სადგურის მოედანი 1,,,Krtsanisi Street,,კრწანისის ქუჩა,,,
