id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget,vehicleMode_override,provider_override,gondolaInfo_override
1:4640,Mikheil Ipolitov-Ivanov Street #109,,მიხეილ იპოლიტოვ-ივანოვის ქუჩა #109,,,41.800043,,44.800237,,308,,,,,,
1:4641,Public School #45,,#45-ე საჯარო სკოლა,,,41.798112,,44.801739,,150,,,,,,
1:4642,Public School #45,,#45-ე საჯარო სკოლა,,,41.79776,,44.802158,,330,,,,,,
1:4643,Mikheil Ipolitov-Ivanov Street #16a,,მიხეილ იპოლიტოვ-ივანოვის ქუჩა #16ა,,,41.795932,,44.803019,,166,,,,,,
1:4644,Mikheil Ipolitov-Ivanov Street #27,,მიხეილ იპოლიტოვ-ივანოვის ქუჩა #27,,,41.795876,,44.803161,,347,,,,,,
1:4645,Mikheil Ipolitov-Ivanov Street #1,,მიხეილ იპოლიტოვ-ივანოვის ქუჩა #1,,,41.793478,,44.805768,,313,,,,,,
1:4646,26 May Street #21,,26 მაისის ქუჩა #21,,,41.814589,,44.811891,,50,,,,,,
1:4647,26 May Street #14,,26 მაისის ქუჩა #14,,,41.8146,,44.811815,,232,,,,,,
1:4648,26 May Street #35,,26 მაისის ქუჩა #35,,,41.816002,,44.813348,,21,,,,,,
1:4649,26 May Street #30,,26 მაისის ქუჩა #30,,,41.815892,,44.813211,,208,,,,,,
1:4650,26 May Street #40,,26 მაისის ქუჩა #40,,,41.819154,,44.815778,,240,,,,,,
1:4651,26 May Street #78,,26 მაისის ქუჩა #78,,,41.820769,,44.818908,,238,,,,,,
1:4652,26 May Street #85,,26 მაისის ქუჩა #85,,,41.822279,,44.821625,,42,,,,,,
1:4653,26 May Street #85,,26 მაისის ქუჩა #85,,,41.822309,,44.821582,,221,,,,,,
1:4654,26 May Street #133,,26 მაისის ქუჩა #133,,,41.82569,,44.825215,,58,,,,,,
1:4655,26 May Street #128,,26 მაისის ქუჩა #128,,,41.825692,,44.825113,,238,,,,,,
1:4656,26 May Street #151,,26 მაისის ქუჩა #151,,,41.826182,,44.827272,,38,,,,,,
1:4657,26 May Street #148,,26 მაისის ქუჩა #148,,,41.826549,,44.827573,,233,,,,,,
1:4659,Turtle Lake Lane,,კუს ტბის ასახვევი,,,41.710174,,44.741926,,294,,,,,,
1:4660,Didube District Administration,,დიდუბის რაიონის გამგეობა,,,41.755188,41.75521,44.777849,44.77773,223,,,,,,
1:4661,Parnavaz Mepe Ave #2,,ფარნავაზ მეფის გამზირი #32,,,41.79531,,44.764553,,181,,,,,,
1:4662,Demetre Tavdadebuli St #2,,დემეტრე თავდადებულის ქუჩა #2,,,41.796418,,44.762826,,91,,,,,,
1:4663,Demetre Tavdadebuli St #22,,დემეტრე თავდადებულის ქუჩა #22,,,41.796426,,44.757416,,90,,,,,,
1:4664,Demetre Tavdadebuli St #30,,დემეტრე თავდადებულის ქუჩა #30,,,41.796416,,44.754326,,90,,,,,,
1:4665,Demetre Tavdadebuli St #39,,დემეტრე თავდადებულის ქუჩა #39,,,41.795598,,44.749106,,244,,,,,,
1:4666,Demetre Tavdadebuli St #39,,დემეტრე თავდადებულის ქუჩა #39,,,41.795606,,44.749396,,64,,,,,,
1:4667,Mukhran Machavariani St #4,,მუხრან მაჭავარიანის ქუჩა #4,,,41.737316,,44.750718,,253,,,,,,
1:4668,Mukhran Machavariani St #4,,მუხრან მაჭავარიანის ქუჩა #4,,,41.737302,,44.751107,,80,,,,,,
1:4669,East Point,,ისთ ფოინთი,,,41.68806,,44.899353,,262,,,,,,
1:20003,ზემო ფონიჭალის #16,,ზემო ფონიჭალის #16,,,41.646033,,44.897456,,0,,,,,,
1:20006,კლარა კვეესის და თეთრი ტბის კვეთა,,კლარა კვეესის და თეთრი ტბის კვეთა,,,41.809314,,44.837281,,108,,,,,,
1:20009,ხანძთის I შესახვევი,,ხანძთის I შესახვევი,,,41.778115,,44.85374,,287,,,,,,
1:20011,"ვარკეთილის III ა მ/რ, რაფიელ დვალის # 3",,"ვარკეთილის III ა მ/რ, რაფიელ დვალის # 3",,,41.704709,,44.874301,,213,,,,,,
1:20012,წყნეთი საირმის ქ. 60,,წყნეთი საირმის ქ. 60,,,41.690292,,44.704367,,135,,,,,,
1:20013,ილია ჭავჭავაძის გამზირი #83-ის მიმდებარედ,,ილია ჭავჭავაძის გამზირი #83-ის მიმდებარედ,,,41.705344,41.70539,44.739182,44.7392,280,,,,,,
1:20014,კაკლების დასახლება (ივანე მაჩაბლის ქუჩა #5),,კაკლების დასახლება (ივანე მაჩაბლის ქუჩა #5),,,41.708304,,44.713717,,292,,,,,,
1:20015,დ. ამილახვრის III ჩიხი,,დ. ამილახვრის III ჩიხი,,,41.686644,,44.698372,,20,,,,,,
1:20016,ა. ჭავჭავაძის I შეს. (წყნეთი),,ა. ჭავჭავაძის I შეს. (წყნეთი),,,41.701463,,44.70253,,91,,,,,,
1:20017,იოსებ გრიშაშვილის ქ. #49,,იოსებ გრიშაშვილის ქ. #49,,,41.699346,,44.688212,,249,,,,,,
1:20018,ნიაბის I შესახვევი 39,,ნიაბის I შესახვევი 39,,,41.698381,,44.82854,,206,,,,,,
1:20019,სამხედრო დასახლება მე-2 ქუჩა,,სამხედრო დასახლება მე-2 ქუჩა,,,41.682907,,44.918603,,31,,,,,,
1:20020,ნინო ჟვანიას ქუჩა #67,,ნინო ჟვანიას ქუჩა #67,,,41.70068,,44.766903,,116,,,,,,
1:20021,კვანტალიანის ქ,,კვანტალიანის ქ,,,41.758715,,44.752362,,116,,,,,,
1:20022,მეუნარგიას ქ 72,,მეუნარგიას ქ 72,,,41.721815,,44.80657,,340,,,,,,
1:20023,ბეჟანიშვილის ქ,,ბეჟანიშვილის ქ,,,41.749768,,44.802592,,359,,,,,,
1:20029,მერი შერვაშიძის ქ.,,მერი შერვაშიძის ქ.,,,41.73492,,44.838712,,141,,,,,,
1:20030,აბულის I ჩიხი,,აბულის I ჩიხი,,,41.702578,,44.827453,,244,,,,,,
1:20033,ლევან ღოღობერიძის ქ. #47,,ლევან ღოღობერიძის ქ. #47,,,41.63914,,44.9052,,7,,,,,,
1:20034,მეველეს ქ. 5,,მეველეს ქ. 5,,,41.683397,,44.853546,,180,,,,,,
1:20038,შოთა ნადირაშვილის ქ,,შოთა ნადირაშვილის ქ,,,41.673344,41.67333,44.853746,44.85373,103,,,,,,
1:20039,ენერგეტიკის ქუჩა,,ენერგეტიკის ქუჩა,,,41.827451,,44.767919,,257,,,,,,
1:20058,ქობულეთის ქუჩა 5/3,,ქობულეთის ქუჩა 5/3,,,41.704851,,44.774962,,240,,,,,,
1:20059,მარაბდის ქუჩა #20-22 (მოპირდაპირედ),,მარაბდის ქუჩა #20-22 (მოპირდაპირედ),,,41.703971,,44.773289,,249,,,,,,
1:20060,შატბერაშვილის ქუჩა #31,,შატბერაშვილის ქუჩა #31,,,41.703614,,44.771605,,251,,,,,,
1:20061,შატბერაშვილის ქუჩა #41,,შატბერაშვილის ქუჩა #41,,,41.703041,,44.770536,,226,,,,,,
1:20062,შატბერაშვილის ქუჩა #72,,შატბერაშვილის ქუჩა #72,,,41.701929,,44.768367,,169,,,,,,
