id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget
1:1832,Noe Chkhikvadze Street,Noe Chkhikvadze Street,ნოე ჩხიკვაძის ქუჩა,ნოე ჩხიკვაძის ქუჩა,,41.728246,41.728246,44.801895,44.801895,249,,,
1:1833,Selim Khimshiashvili Street,Selim Khimshiashvili Street,სელიმ ხიმშიაშვილის ქუჩა,სელიმ ხიმშიაშვილის ქუჩა,,41.72753,41.72753,44.799542,44.799542,251,,,
1:1834,Lech Kaczynski,Lech Kaczynski,ლეხ კაჩინსკის ქუჩა,ლეხ კაჩინსკის ქუჩა,,41.69046,41.6906,44.833952,44.83398,8,,,
1:1836,Sergo Gujejiani Street,Sergo Gujejiani Street,სერგო გუჯეჯიანის ქუჩა,სერგო გუჯეჯიანის ქუჩა,,41.679864,41.679864,44.957761,44.957761,147,,,
1:1837,Sergo Gujejiani Street,Sergo Gujejiani Street,სერგო გუჯეჯიანის ქუჩა,სერგო გუჯეჯიანის ქუჩა,,41.680106,41.680106,44.957803,44.957803,327,,,
1:1838,Tbilisi International Airport,Tbilisi International Airport,თბილისის საერთაშორისო აეროპორტი,თბილისის საერთაშორისო აეროპორტი,,41.669532,41.669532,44.965437,44.965437,135,,,
1:1840,Giorgi Antsukhelidze Street,Giorgi Antsukhelidze Street,გიორგი ანწუხელიძის ქუჩა,გიორგი ანწუხელიძის ქუჩა,,41.690143,41.690143,44.841793,44.841793,296,,,
1:1841,Roman Gventsadze Street,Roman Gventsadze Street,რომან გვენცაძის ქუჩა,რომან გვენცაძის ქუჩა,,41.691133,41.691133,44.836828,44.836828,279,,,
1:1842,Lech Kaczynski,Lech Kaczynski,ლეხ კაჩინსკის ქუჩა,ლეხ კაჩინსკის ქუჩა,,41.690394,41.69041,44.833829,44.83381,188,,,
1:1843,Grigol Peradze Street,Grigol Peradze Street,გრიგოლ ფერაძის ქუჩა,გრიგოლ ფერაძის ქუჩა,,41.798684,41.798684,44.770972,44.770972,6,,,
1:1844,Mukhatgverdi Lane,Mukhatgverdi Lane,მუხათგვერდის გადასახვევი,მუხათგვერდის გადასახვევი,,41.796282,41.796282,44.770041,44.770041,186,,,
1:1845,M/S Technical University,M/S Technical University,"მ/ს ""ტექნიკური უნივერსიტეტი""","მ/ს ""ტექნიკური უნივერსიტეტი""",,41.72138,41.72138,44.77419,44.77419,266,,,
1:1846,Davit Gamrekeli Street,Davit Gamrekeli Street,დავით გამრეკელის ქუჩა,დავით გამრეკელის ქუჩა,,41.720899,41.720899,44.77084,44.77084,80,,,
1:1847,Davit Gamrekeli Street,Davit Gamrekeli Street,დავით გამრეკელის ქუჩა,დავით გამრეკელის ქუჩა,,41.720893,41.720893,44.770119,44.770119,261,,,
1:1848,Bakhtrioni St #18,Bakhtrioni St #18,ბახტრიონის ქუჩა #18,ბახტრიონის ქუჩა #18,,41.720565,41.720565,44.76801,44.76801,80,,,
1:1849,Davit Tserediani Street,Davit Tserediani Street,დავით წერედიანის ქუჩა,დავით წერედიანის ქუჩა,,41.720022,41.720022,44.763432,44.763432,81,,,
1:1851,Bakhtrioni St #28,Bakhtrioni St #28,ბახტრიონის ქუჩა #28,ბახტრიონის ქუჩა #28,,41.719648,41.719648,44.760205,44.760205,81,,,
1:1852,Bakhtrioni St #30,Bakhtrioni St #30,ბახტრიონის ქუჩა #30,ბახტრიონის ქუჩა #30,,41.719676,41.719676,44.759626,44.759626,260,,,
1:1853,Zaza Panaskertel-Tsitsishvili St #1,Zaza Panaskertel-Tsitsishvili St #1,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #1,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #1,,41.718673,41.718673,44.759548,44.759548,91,,,
1:1854,Zaza Panaskertel-Tsitsishvili St #6,Zaza Panaskertel-Tsitsishvili St #6,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #6,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #6,,41.718935,41.718935,44.763915,44.763915,82,,,
1:1855,Kindergarten #112,Kindergarten #112,#112-ე საბავშვო ბაღი,#112-ე საბავშვო ბაღი,,41.718639,41.718639,44.765916,44.765916,109,,,
1:1856,Public School #162,Public School #162,#162-ე საჯარო სკოლა,#162-ე საჯარო სკოლა,,41.718319,41.718319,44.769073,44.769073,72,,,
1:1857,Ikalto Hill,Ikalto Hill,იყალთოს გორა,იყალთოს გორა,,41.719023,41.719023,44.770615,44.770615,188,,,
1:1858,Public School #162,Public School #162,#162-ე საჯარო სკოლა,#162-ე საჯარო სკოლა,,41.718281,41.718281,44.768686,44.768686,254,,,
1:1859,Kindergarten #112,Kindergarten #112,#112-ე საბავშვო ბაღი,#112-ე საბავშვო ბაღი,,41.718771,41.718771,44.765752,44.765752,288,,,
1:1860,Zaza Panaskertel-Tsitsishvili St #17,Zaza Panaskertel-Tsitsishvili St #17,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #17,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #17,,41.718807,41.718807,44.76188,44.76188,264,,,
1:1861,Zaza Panaskertel-Tsitsishvili St #1,Zaza Panaskertel-Tsitsishvili St #1,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #1,ზაზა ფანასკერტელ-ციციშვილის ქუჩა #1,,41.718751,41.718751,44.759422,44.759422,274,,,
1:1871,Public School #74,Public School #74,#74-ე საჯარო სკოლა,#74-ე საჯარო სკოლა,,41.688445,41.688445,44.851755,44.851755,352,,,
1:1872,Atanase Kharabadze Street,Atanase Kharabadze Street,ათანასე ხარაბაძის ქუჩა,ათანასე ხარაბაძის ქუჩა,,41.690262,41.690262,44.850461,44.850461,319,,,
1:1873,Sergi Durmishidze Street,Sergi Durmishidze Street,სერგი დურმიშიძის ქუჩა,სერგი დურმიშიძის ქუჩა,,41.692054,41.692054,44.848434,44.848434,320,,,
1:1874,Kakabeti St #73,Kakabeti St #73,კაკაბეთის ქუჩა #73,კაკაბეთის ქუჩა #73,,41.694005,41.694005,44.846275,44.846275,323,,,
1:1875,Kvareli Square,Kvareli Square,ყვარლის მოედანი,ყვარლის მოედანი,,41.694938,41.694938,44.845108,44.845108,313,,,
1:1878,Giorgi Ghviniashvili St #11,Giorgi Ghviniashvili St #11,გიორგი ღვინიაშვილის ქუჩა #11,გიორგი ღვინიაშვილის ქუჩა #11,,41.698421,41.698421,44.842541,44.842541,274,,,
1:1879,Giorgi Ghviniashvili St #27,Giorgi Ghviniashvili St #27,გიორგი ღვინიაშვილის ქუჩა #27,გიორგი ღვინიაშვილის ქუჩა #27,,41.698567,41.698567,44.840237,44.840237,222,,,
1:1880,Kvareli Street #114,Kvareli Street #114,ყვარლის ქუჩა #114,ყვარლის ქუჩა #114,,41.697652,41.697652,44.840977,44.840977,145,,,
1:1881,Kvareli Street #98,Kvareli Street #98,ყვარლის ქუჩა #98,ყვარლის ქუჩა #98,,41.696226,41.696226,44.842576,44.842576,140,,,
1:1882,Kvareli Square,Kvareli Square,ყვარლის მოედანი,ყვარლის მოედანი,,41.694902,41.694902,44.844097,44.844097,132,,,
1:1883,Kakabeti St #78,Kakabeti St #78,კაკაბეთის ქუჩა #78,კაკაბეთის ქუჩა #78,,41.693887,41.693887,44.846256,44.846256,147,,,
1:1884,Sergi Durmishidze Street,Sergi Durmishidze Street,სერგი დურმიშიძის ქუჩა,სერგი დურმიშიძის ქუჩა,,41.6918,41.6918,44.848576,44.848576,140,,,
1:1885,Atanase Kharabadze Street,Atanase Kharabadze Street,ათანასე ხარაბაძის ქუჩა,ათანასე ხარაბაძის ქუჩა,,41.6903,41.6903,44.850279,44.850279,141,,,
1:1886,Public School #74,Public School #74,#74-ე საჯარო სკოლა,#74-ე საჯარო სკოლა,,41.688577,41.688577,44.851599,44.851599,167,,,
1:1892,Didube District Administration,Didube District Administration,დიდუბის რაიონის გამგეობა,დიდუბის რაიონის გამგეობა,,41.75485,41.75479,44.777425,44.77745,51,,,
1:1893,Akaki Beliashvili St #13a,Akaki Beliashvili St #13a,აკაკი ბელიაშვილის ქუჩა #13ა,აკაკი ბელიაშვილის ქუჩა #13ა,,41.757187,41.757187,44.779705,44.779705,23,,,
1:1894,Akaki Beliashvili St #41,Akaki Beliashvili St #41,აკაკი ბელიაშვილის ქუჩა #41,აკაკი ბელიაშვილის ქუჩა #41,,41.761607,41.761607,44.780332,44.780332,358,,,
1:1897,"Dighomi Masivi, Block 3, #20","Dighomi Masivi, Block 3, #20",დიღმის მასივი III კვარტალი #20,დიღმის მასივი III კვარტალი #20,,180,41.761181,44.780236,44.780236,180,,,
1:1898,"Dighomi Masivi, Block 3, #9","Dighomi Masivi, Block 3, #9",დიღმის მასივი III კვარტალი #9,დიღმის მასივი III კვარტალი #9,,203,41.757225,44.779603,44.779603,216,,,
1:1900,Osip Mandelstam Street #2,Osip Mandelstam Street #2,ოსიპ მანდელშტამის ქუჩა #2,ოსიპ მანდელშტამის ქუჩა #2,,41.690127,41.690127,44.865592,44.865592,90,,,
1:1901,Alexandre Tsulukidze St #21,Alexandre Tsulukidze St #21,ალექსანდრე წულუკიძის ქუჩა #21,ალექსანდრე წულუკიძის ქუჩა #21,,41.690302,41.690302,44.865334,44.865334,329,,,
1:1904,Ioseb and Leon Orbeliani Street,Ioseb and Leon Orbeliani Street,იოსებ და ლეონ ორბელების ქუჩა,იოსებ და ლეონ ორბელების ქუჩა,,41.692177,41.692177,44.857592,44.857592,279,,,
1:1905,Ioseb and Leon Orbeliani Street,Ioseb and Leon Orbeliani Street,იოსებ და ლეონ ორბელების ქუჩა,იოსებ და ლეონ ორბელების ქუჩა,,41.692126,41.692126,44.857315,44.857315,99,,,
1:1906,Alexandre Tsulukidze St #16,Alexandre Tsulukidze St #16,ალექსანდრე წულუკიძის ქუჩა #16,ალექსანდრე წულუკიძის ქუჩა #16,,41.692257,41.692257,44.863202,44.863202,90,,,
1:1907,Alexandre Tsulukidze St #16,Alexandre Tsulukidze St #16,ალექსანდრე წულუკიძის ქუჩა #16,ალექსანდრე წულუკიძის ქუჩა #16,,41.692343,41.692343,44.863591,44.863591,285,,,
1:1908,Alexandre Tsulukidze St #31,Alexandre Tsulukidze St #31,ალექსანდრე წულუკიძის ქუჩა #31,ალექსანდრე წულუკიძის ქუჩა #31,,41.69222,41.69222,44.86045,44.86045,91,,,
1:1909,Alexandre Tsulukidze St #31,Alexandre Tsulukidze St #31,ალექსანდრე წულუკიძის ქუჩა #31,ალექსანდრე წულუკიძის ქუჩა #31,,41.692307,41.692307,44.860657,44.860657,270,,,
